Basic Regression Results,,,,
,(1),(2),(3),(4)
,Flexsum,Flexsum,Flexsum,Flexsum
tp,0.2030***,0.0306**,0.0510***,0.0261**
,(0.0075),(0.0136),(0.0061),(0.0114)
Boardsize,,,-0.0279,-0.0481
,,,(0.0224),(0.0341)
size,,,3.6726***,3.6733***
,,,(0.0398),(0.1260)
indp,,,0.0789,0.0211
,,,(0.0678),(0.0891)
dual,,,-0.0149**,-0.0141
,,,(0.0070),(0.0098)
salegr,,,-0.0347***,-0.0210**
,,,(0.0069),(0.0088)
roa,,,0.0177,-0.0049
,,,(0.0527),(0.0818)
tobinq,,,0.0058**,0.0018
,,,(0.0024),(0.0043)
degree,,,0.0178,0.0000
,,,(0.0122),(.)
Constant,10.1982***,10.1291***,1.8586***,2.0106***
,(0.0134),(0.0076),(0.1036),(0.2993)
N,9565,9565,9565,9565
Adj-R2,,0.2464,,0.4260
Standard errors in parentheses,,,,
"=""* p<0.1", ** p<0.05," *** p<0.01""",,
